"","receiver_player_name","receiver_player_id","passer_player_name","passer_player_id","complete_pass","air_yards","yards_after_catch"
"1","J.Conner","00-0033553","K.Murray","00-0035228",1,-3,25
"2","J.Conner","00-0033553","K.Murray","00-0035228",1,2,7
"3","G.Dortch","00-0035500","K.Murray","00-0035228",1,6,2
"4","M.Harrison","00-0039849","K.Murray","00-0035228",0,12,NA
"5",NA,NA,"K.Murray","00-0035228",0,NA,NA
"6","Mi.Wilson","00-0038559","K.Murray","00-0035228",1,5,0
"7","M.Hollins","00-0033555","J.Allen","00-0034857",1,13,1
"8",NA,NA,"J.Allen","00-0034857",0,NA,NA
"9","J.Conner","00-0033553","K.Murray","00-0035228",1,-3,5
"10","E.Demercado","00-0038705","K.Murray","00-0035228",1,0,24
"11","T.McBride","00-0037744","K.Murray","00-0035228",1,6,0
"12","E.Higgins","00-0039041","K.Murray","00-0035228",1,-1,8
"13","G.Dortch","00-0035500","K.Murray","00-0035228",1,3,0
"14","E.Demercado","00-0038705","K.Murray","00-0035228",1,1,1
"15","D.Knox","00-0035689","J.Allen","00-0034857",1,6,17
"16",NA,NA,"J.Allen","00-0034857",0,NA,NA
"17","T.Benson","00-0039921","K.Murray","00-0035228",1,-4,9
"18","M.Harrison","00-0039849","K.Murray","00-0035228",0,15,NA
"19","M.Harrison","00-0039849","K.Murray","00-0035228",1,4,0
"20","E.Higgins","00-0039041","K.Murray","00-0035228",1,4,1
"21","T.McBride","00-0037744","K.Murray","00-0035228",0,26,NA
"22","G.Dortch","00-0035500","K.Murray","00-0035228",1,9,5
"23","T.McBride","00-0037744","K.Murray","00-0035228",1,6,2
"24","T.McBride","00-0037744","K.Murray","00-0035228",1,7,0
"25","C.Samuel","00-0033282","J.Allen","00-0034857",1,5,3
"26","K.Shakir","00-0037261","J.Allen","00-0034857",1,8,11
"27","K.Coleman","00-0039901","J.Allen","00-0034857",1,1,11
"28","J.Cook","00-0037248","J.Allen","00-0034857",1,-6,10
"29","K.Coleman","00-0039901","J.Allen","00-0034857",1,4,0
"30","J.Cook","00-0037248","J.Allen","00-0034857",1,13,12
"31","R.Davis","00-0039875","J.Allen","00-0034857",1,2,12
"32","D.Kincaid","00-0038933","J.Allen","00-0034857",0,-4,NA
"33","M.Hollins","00-0033555","J.Allen","00-0034857",1,11,0
"34",NA,NA,"K.Murray","00-0035228",0,NA,NA
"35","J.Cook","00-0037248","J.Allen","00-0034857",1,-6,9
"36","M.Valdes-Scantling","00-0034272","J.Allen","00-0034857",0,41,NA
"37","G.Dortch","00-0035500","K.Murray","00-0035228",1,0,3
"38",NA,NA,"K.Murray","00-0035228",0,NA,NA
"39","K.Coleman","00-0039901","J.Allen","00-0034857",1,7,0
"40","K.Shakir","00-0037261","J.Allen","00-0034857",1,-2,13
"41","T.McBride","00-0037744","K.Murray","00-0035228",0,21,NA
"42","M.Valdes-Scantling","00-0034272","J.Allen","00-0034857",1,14,5
"43","D.Knox","00-0035689","J.Allen","00-0034857",0,13,NA
"44","K.Shakir","00-0037261","J.Allen","00-0034857",1,6,6
"45","K.Coleman","00-0039901","J.Allen","00-0034857",1,28,0
"46","K.Coleman","00-0039901","J.Allen","00-0034857",0,6,NA
"47","D.Kincaid","00-0038933","J.Allen","00-0034857",1,5,6
"48","C.Samuel","00-0033282","J.Allen","00-0034857",1,-2,9
"49","Ty.Johnson","00-0035537","J.Allen","00-0034857",0,3,NA
"50","T.McBride","00-0037744","K.Murray","00-0035228",0,-3,NA
"51","J.Conner","00-0033553","K.Murray","00-0035228",0,-6,NA
"52",NA,NA,"K.Murray","00-0035228",0,NA,NA
"53","Mi.Wilson","00-0038559","K.Murray","00-0035228",0,19,NA
"54","T.McBride","00-0037744","K.Murray","00-0035228",1,5,0
"55","G.Dortch","00-0035500","K.Murray","00-0035228",1,4,8
"56","T.McBride","00-0037744","K.Murray","00-0035228",1,4,0
"57","G.Dortch","00-0035500","K.Murray","00-0035228",1,7,0
"58","T.McBride","00-0037744","K.Murray","00-0035228",0,3,NA
"59","G.Dortch","00-0035500","K.Murray","00-0035228",0,15,NA
"60","G.Dortch","00-0035500","K.Murray","00-0035228",0,27,NA
"61","J.Hill","00-0034975","L.Jackson","00-0034796",1,-4,6
"62","J.Hill","00-0034975","L.Jackson","00-0034796",1,1,17
"63","D.Henry","00-0032764","L.Jackson","00-0034796",0,-6,NA
"64","Z.Flowers","00-0039064","L.Jackson","00-0034796",1,18,1
"65","R.Rice","00-0039067","P.Mahomes","00-0033873",1,4,7
"66",NA,NA,"P.Mahomes","00-0033873",0,NA,NA
"67","R.Rice","00-0039067","P.Mahomes","00-0033873",1,4,12
"68","I.Likely","00-0037838","L.Jackson","00-0034796",1,11,4
"69","Z.Flowers","00-0039064","L.Jackson","00-0034796",1,3,0
"70","J.Hill","00-0034975","L.Jackson","00-0034796",1,-1,2
"71","I.Pacheco","00-0037197","P.Mahomes","00-0033873",1,-4,27
"72","R.Rice","00-0039067","P.Mahomes","00-0033873",1,3,16
"73","R.Rice","00-0039067","P.Mahomes","00-0033873",1,-3,4
"74",NA,NA,"P.Mahomes","00-0033873",0,NA,NA
"75",NA,NA,"L.Jackson","00-0034796",0,NA,NA
"76","I.Pacheco","00-0037197","P.Mahomes","00-0033873",0,11,NA
"77","N.Gray","00-0036637","P.Mahomes","00-0033873",1,10,1
"78","J.Smith-Schuster","00-0033857","P.Mahomes","00-0033873",0,13,NA
"79","Z.Flowers","00-0039064","L.Jackson","00-0034796",1,-3,10
"80","I.Likely","00-0037838","L.Jackson","00-0034796",1,-2,7
"81","Z.Flowers","00-0039064","L.Jackson","00-0034796",1,-1,2
"82","T.Kelce","00-0030506","P.Mahomes","00-0033873",1,-1,2
"83","T.Kelce","00-0030506","P.Mahomes","00-0033873",1,20,3
"84","X.Worthy","00-0039894","P.Mahomes","00-0033873",1,3,9
"85","T.Kelce","00-0030506","P.Mahomes","00-0033873",0,3,NA
"86","X.Worthy","00-0039894","P.Mahomes","00-0033873",0,13,NA
"87","Z.Flowers","00-0039064","L.Jackson","00-0034796",1,-2,11
"88","R.Bateman","00-0036550","L.Jackson","00-0034796",0,1,NA
"89","R.Rice","00-0039067","P.Mahomes","00-0033873",0,8,NA
"90","J.Hill","00-0034975","L.Jackson","00-0034796",1,-6,13
"91","I.Likely","00-0037838","L.Jackson","00-0034796",1,3,6
"92","I.Likely","00-0037838","L.Jackson","00-0034796",1,3,6
"93","Z.Flowers","00-0039064","L.Jackson","00-0034796",0,4,NA
"94","J.Hill","00-0034975","L.Jackson","00-0034796",0,-2,NA
"95","J.Hill","00-0034975","L.Jackson","00-0034796",0,-3,NA
"96","R.Rice","00-0039067","P.Mahomes","00-0033873",1,13,20
