"","rusher_player_name","pos_team","yards_gained"
"1","J.Conner","ARI",3
"2","J.Conner","ARI",2
"3","J.Conner","ARI",2
"4","J.Conner","ARI",2
"5","J.Conner","ARI",-3
"6","K.Murray","ARI",6
"7","J.Conner","ARI",4
"8","J.Cook","BUF",9
"9","J.Cook","BUF",3
"10","J.Conner","ARI",4
"11","K.Murray","ARI",11
"12","J.Conner","ARI",1
"13","J.Cook","BUF",15
"14","J.Cook","BUF",5
"15","J.Cook","BUF",9
"16","J.Cook","BUF",4
"17","J.Cook","BUF",4
"18","J.Cook","BUF",0
"19","T.Benson","ARI",6
"20","K.Murray","ARI",12
"21","T.Benson","ARI",4
"22","T.Benson","ARI",3
"23","J.Conner","ARI",3
"24","Ty.Johnson","BUF",6
"25","J.Allen","BUF",6
"26","J.Allen","BUF",7
"27","J.Allen","BUF",7
"28","J.Cook","BUF",1
"29","J.Cook","BUF",-2
"30","R.Davis","BUF",13
"31","R.Davis","BUF",0
"32","J.Conner","ARI",2
"33","J.Conner","ARI",2
"34","R.Davis","BUF",0
"35","J.Cook","BUF",1
"36","Ty.Johnson","BUF",1
"37","J.Allen","BUF",1
"38","J.Conner","ARI",3
"39","K.Murray","ARI",29
"40","J.Conner","ARI",20
"41","G.Dortch","ARI",4
"42","J.Conner","ARI",2
"43","J.Conner","ARI",0
"44","J.Cook","BUF",6
"45","J.Cook","BUF",1
"46","J.Allen","BUF",5
"47","J.Cook","BUF",-2
"48","J.Allen","BUF",6
"49","J.Conner","ARI",2
"50","J.Allen","BUF",9
"51","J.Cook","BUF",3
"52","J.Cook","BUF",-3
"53","J.Cook","BUF",9
"54","J.Cook","BUF",7
"55","J.Cook","BUF",1
"56","J.Allen","BUF",-1
"57","J.Conner","ARI",3
"58","D.Henry","BAL",2
"59","D.Henry","BAL",1
"60","D.Henry","BAL",6
"61","D.Henry","BAL",3
"62","L.Jackson","BAL",11
"63","L.Jackson","BAL",8
"64","D.Henry","BAL",5
"65","I.Pacheco","KC",4
"66","X.Worthy","KC",21
"67","D.Henry","BAL",1
"68","I.Pacheco","KC",1
"69","D.Henry","BAL",6
"70","L.Jackson","BAL",5
"71","L.Jackson","BAL",7
"72","I.Pacheco","KC",2
"73","I.Pacheco","KC",5
"74","Z.Flowers","BAL",6
"75","D.Henry","BAL",9
"76","L.Jackson","BAL",13
"77","L.Jackson","BAL",3
"78","L.Jackson","BAL",10
"79","L.Jackson","BAL",6
"80","J.Hill","BAL",3
"81","I.Pacheco","KC",5
"82","I.Pacheco","KC",1
"83","D.Henry","BAL",-1
"84","I.Pacheco","KC",5
"85","I.Pacheco","KC",2
"86","I.Pacheco","KC",3
"87","C.Steele","KC",5
"88","D.Henry","BAL",6
"89","D.Henry","BAL",1
"90","L.Jackson","BAL",16
"91","L.Jackson","BAL",3
"92","I.Pacheco","KC",3
"93","I.Pacheco","KC",5
"94","I.Pacheco","KC",2
"95","P.Mahomes","KC",4
"96","I.Pacheco","KC",0
"97","Z.Flowers","BAL",8
"98","L.Jackson","BAL",9
"99","D.Henry","BAL",5
"100","L.Jackson","BAL",13
"101","D.Henry","BAL",2
"102","L.Jackson","BAL",4
"103","L.Jackson","BAL",2
"104","I.Pacheco","KC",5
"105","I.Pacheco","KC",2
"106","C.Steele","KC",-2
"107","L.Jackson","BAL",9
"108","L.Jackson","BAL",3
"109","A.Kamara","NO",9
"110","T.Hill","NO",2
"111","A.Kamara","NO",11
"112","A.Kamara","NO",-5
"113","C.Hubbard","CAR",4
"114","C.Hubbard","CAR",7
"115","B.Young","CAR",1
"116","C.Hubbard","CAR",3
"117","A.Kamara","NO",9
"118","A.Kamara","NO",5
"119","T.Hill","NO",12
"120","T.Hill","NO",9
"121","T.Hill","NO",5
"122","A.Kamara","NO",17
"123","A.Kamara","NO",2
"124","M.Sanders","CAR",2
"125","M.Sanders","CAR",5
"126","A.Kamara","NO",5
"127","Ja.Williams","NO",4
"128","A.Kamara","NO",17
"129","A.Kamara","NO",0
"130","B.Young","CAR",4
"131","J.Mingo","CAR",3
"132","Ja.Williams","NO",2
"133","Ja.Williams","NO",5
"134","B.Young","CAR",4
"135","M.Sanders","CAR",8
"136","C.Hubbard","CAR",-2
"137","D.Carr","NO",8
"138","A.Kamara","NO",4
"139","T.Hill","NO",7
"140","A.Kamara","NO",5
"141","A.Kamara","NO",2
"142","A.Kamara","NO",1
"143","C.Hubbard","CAR",1
"144","B.Young","CAR",3
"145","Ja.Williams","NO",2
"146","Ja.Williams","NO",6
"147","A.Kamara","NO",1
"148","Ja.Williams","NO",3
"149","Ja.Williams","NO",-2
"150","D.Carr","NO",5
"151","Ja.Williams","NO",1
"152","Ja.Williams","NO",-1
"153","M.Sanders","CAR",2
"154","Ja.Williams","NO",14
"155","C.Hubbard","CAR",1
"156","Ja.Williams","NO",4
"157","J.Mims","NO",4
"158","J.Mims","NO",0
"159","M.Sanders","CAR",5
"160","J.Mims","NO",2
"161","J.Mims","NO",5
"162","M.Boone","CAR",5
"163","M.Boone","CAR",1
"164","M.Boone","CAR",1
"165","M.Boone","CAR",0
"166","E.Elliott","DAL",8
"167","J.Ford","CLE",4
"168","D.Watson","CLE",8
"169","C.Lamb","DAL",10
"170","R.Dowdle","DAL",5
"171","J.Ford","CLE",0
"172","E.Elliott","DAL",1
"173","E.Elliott","DAL",7
"174","E.Elliott","DAL",1
"175","R.Dowdle","DAL",2
"176","J.Ford","CLE",1
"177","E.Elliott","DAL",9
"178","D.Prescott","DAL",3
"179","C.Lamb","DAL",12
"180","E.Elliott","DAL",3
"181","R.Dowdle","DAL",6
"182","E.Elliott","DAL",3
"183","R.Dowdle","DAL",-1
"184","D.Vaughn","DAL",4
"185","J.Ford","CLE",6
"186","E.Elliott","DAL",3
"187","P.Strong","CLE",4
"188","J.Ford","CLE",4
"189","J.Ford","CLE",4
"190","C.Lamb","DAL",3
"191","E.Elliott","DAL",2
"192","J.Ford","CLE",6
"193","J.Ford","CLE",-2
"194","R.Dowdle","DAL",5
"195","R.Dowdle","DAL",10
"196","R.Dowdle","DAL",1
"197","D.Watson","CLE",3
