,defteam,play_type,air_yards,yards_after_catch,interception,complete_pass,yards_allowed,passer_player_id,passer_player_name,receiver_player_id,receiver_player_name
1,BUF,pass,-3,25,0,1,22,00-0035228,K.Murray,00-0033553,J.Conner
2,BUF,pass,2,7,0,1,9,00-0035228,K.Murray,00-0033553,J.Conner
3,BUF,pass,6,2,0,1,8,00-0035228,K.Murray,00-0035500,G.Dortch
4,BUF,pass,12,,0,0,0,00-0035228,K.Murray,00-0039849,M.Harrison
5,BUF,pass,,,0,0,0,00-0035228,K.Murray,,
6,BUF,pass,5,0,0,1,5,00-0035228,K.Murray,00-0038559,Mi.Wilson
7,ARI,pass,13,1,0,1,14,00-0034857,J.Allen,00-0033555,M.Hollins
8,ARI,pass,,,0,0,0,00-0034857,J.Allen,,
9,BUF,pass,-3,5,0,1,2,00-0035228,K.Murray,00-0033553,J.Conner
10,BUF,pass,0,24,0,1,24,00-0035228,K.Murray,00-0038705,E.Demercado
11,BUF,pass,6,0,0,1,6,00-0035228,K.Murray,00-0037744,T.McBride
12,BUF,pass,-1,8,0,1,7,00-0035228,K.Murray,00-0039041,E.Higgins
13,BUF,pass,3,0,0,1,3,00-0035228,K.Murray,00-0035500,G.Dortch
14,BUF,pass,1,1,0,1,2,00-0035228,K.Murray,00-0038705,E.Demercado
15,ARI,pass,6,17,0,1,23,00-0034857,J.Allen,00-0035689,D.Knox
16,ARI,pass,,,0,0,0,00-0034857,J.Allen,,
17,BUF,pass,-4,9,0,1,5,00-0035228,K.Murray,00-0039921,T.Benson
18,BUF,pass,15,,0,0,0,00-0035228,K.Murray,00-0039849,M.Harrison
19,BUF,pass,4,0,0,1,4,00-0035228,K.Murray,00-0039849,M.Harrison
20,BUF,pass,4,1,0,1,5,00-0035228,K.Murray,00-0039041,E.Higgins
21,BUF,pass,26,,0,0,0,00-0035228,K.Murray,00-0037744,T.McBride
22,BUF,pass,9,5,0,1,14,00-0035228,K.Murray,00-0035500,G.Dortch
23,BUF,pass,6,2,0,1,8,00-0035228,K.Murray,00-0037744,T.McBride
24,BUF,pass,7,0,0,1,7,00-0035228,K.Murray,00-0037744,T.McBride
25,ARI,pass,5,3,0,1,8,00-0034857,J.Allen,00-0033282,C.Samuel
26,ARI,pass,8,11,0,1,19,00-0034857,J.Allen,00-0037261,K.Shakir
27,ARI,pass,1,11,0,1,12,00-0034857,J.Allen,00-0039901,K.Coleman
28,ARI,pass,-6,10,0,1,4,00-0034857,J.Allen,00-0037248,J.Cook
29,ARI,pass,4,0,0,1,4,00-0034857,J.Allen,00-0039901,K.Coleman
30,ARI,pass,13,12,0,1,25,00-0034857,J.Allen,00-0037248,J.Cook
