"","kicker_player_name","kicker_player_id","yardline_100","result"
"1","M.Prater","00-0023853",11,1
"2","T.Bass","00-0036162",19,1
"3","M.Prater","00-0023853",12,1
"4","T.Bass","00-0036162",21,1
"5","H.Butker","00-0033303",13,1
"6","H.Butker","00-0033303",13,1
"7","J.Tucker","00-0029597",35,0
"8","J.Tucker","00-0029597",7,1
"9","J.Tucker","00-0029597",14,1
"10","B.Grupe","00-0038905",39,1
"11","B.Grupe","00-0038905",26,1
"12","B.Grupe","00-0038905",34,1
"13","E.Pineiro","00-0034173",25,1
"14","B.Grupe","00-0038905",21,1
"15","D.Hopkins","00-0030098",33,1
"16","B.Aubrey","00-0037692",39,1
"17","B.Aubrey","00-0037692",22,1
"18","B.Aubrey","00-0037692",32,1
"19","B.Aubrey","00-0037692",28,1
"20","W.Lutz","00-0032569",17,1
"21","J.Myers","00-0031492",32,1
"22","W.Lutz","00-0032569",11,1
"23","W.Lutz","00-0032569",27,1
"24","J.Myers","00-0031492",10,1
"25","B.Narveson","00-0039649",13,1
"26","B.Narveson","00-0039649",5,1
"27","J.Elliott","00-0033787",20,1
"28","B.Narveson","00-0039649",25,0
"29","B.Narveson","00-0039649",8,1
"30","J.Elliott","00-0033787",3,1
"31","K.Fairbairn","00-0032726",32,1
"32","K.Fairbairn","00-0032726",32,1
"33","K.Fairbairn","00-0032726",33,1
"34","C.Little","00-0039409",34,1
"35","J.Sanders","00-0034794",24,0
"36","J.Sanders","00-0034794",19,1
"37","J.Sanders","00-0034794",34,1
"38","J.Karty","00-0039750",23,1
"39","J.Bates","00-0039172",7,1
"40","J.Karty","00-0039750",8,1
"41","J.Bates","00-0039172",14,1
"42","C.Dicker","00-0037224",35,1
"43","C.Dicker","00-0037224",7,1
"44","C.Dicker","00-0037224",6,1
"45","D.Carlson","00-0034161",31,0
"46","D.Carlson","00-0034161",14,1
"47","G.Gano","00-0026858",5,1
"48","G.Gano","00-0026858",31,1
"49","J.Slye","00-0035192",14,1
"50","J.Slye","00-0035192",17,1
"51","J.Slye","00-0035192",18,1
"52","E.McPherson","00-0036854",33,1
"53","J.Moody","00-0038562",29,1
"54","J.Moody","00-0038562",33,1
"55","J.Moody","00-0038562",13,1
"56","J.Moody","00-0038562",35,1
"57","J.Moody","00-0038562",5,1
"58","J.Moody","00-0038562",24,1
"59","Y.Koo","00-0033702",6,1
"60","C.Boswell","00-0031136",39,1
"61","C.Boswell","00-0031136",33,1
"62","C.Boswell","00-0031136",25,1
"63","C.Boswell","00-0031136",38,1
"64","C.Boswell","00-0031136",22,1
"65","C.Boswell","00-0031136",7,1
"66","N.Folk","00-0025565",22,1
"67","C.Santos","00-0031203",6,1
"68","C.Santos","00-0031203",32,1
"69","C.Santos","00-0031203",30,1
"70","C.McLaughlin","00-0035358",38,1
"71","C.McLaughlin","00-0035358",16,1
"72","C.York","00-0038097",29,0
"73","C.McLaughlin","00-0035358",11,1
"74","C.York","00-0038097",38,0
"75","Y.Koo","00-0033702",21,1
"76","Y.Koo","00-0033702",4,1
"77","Y.Koo","00-0033702",16,1
"78","J.Elliott","00-0033787",11,1
"79","J.Elliott","00-0033787",10,1
"80","T.Bass","00-0036162",25,1
"81","J.Sanders","00-0034794",16,1
"82","T.Bass","00-0036162",27,0
"83","K.Fairbairn","00-0032726",38,1
"84","C.Santos","00-0031203",35,1
"85","K.Fairbairn","00-0032726",29,1
"86","K.Fairbairn","00-0032726",41,1
"87","K.Fairbairn","00-0032726",34,1
"88","C.Santos","00-0031203",36,1
"89","E.McPherson","00-0036854",4,1
"90","H.Butker","00-0033303",1,1
"91","E.McPherson","00-0036854",15,1
"92","E.McPherson","00-0036854",30,1
"93","E.McPherson","00-0036854",35,1
"94","H.Butker","00-0033303",32,1
"95","D.Hopkins","00-0030098",35,1
"96","C.Little","00-0039409",4,1
"97","D.Hopkins","00-0030098",20,1
"98","D.Hopkins","00-0030098",26,1
"99","C.Little","00-0039409",25,0
"100","C.Little","00-0039409",7,1
"101","B.Narveson","00-0039649",28,1
"102","B.Narveson","00-0039649",23,1
"103","M.Gay","00-0035269",16,1
"104","M.Gay","00-0035269",32,0
"105","B.Narveson","00-0039649",16,1
"106","B.Narveson","00-0039649",26,0
"107","E.Pineiro","00-0034173",20,1
"108","C.Dicker","00-0037224",28,1
"109","C.Dicker","00-0037224",23,1
"110","J.Karty","00-0039750",11,1
"111","M.Prater","00-0023853",30,1
"112","M.Prater","00-0023853",39,1
"113","J.Tucker","00-0029597",30,1
"114","D.Carlson","00-0034161",35,1
"115","J.Tucker","00-0029597",25,1
"116","J.Tucker","00-0029597",38,0
"117","D.Carlson","00-0034161",33,1
"118","J.Tucker","00-0029597",14,1
"119","D.Carlson","00-0034161",6,1
"120","D.Carlson","00-0034161",20,1
"121","B.Aubrey","00-0037692",34,1
"122","B.Aubrey","00-0037692",20,1
"123","B.Aubrey","00-0037692",30,1
"124","B.Aubrey","00-0037692",22,1
"125","B.Grupe","00-0038905",8,1
"126","A.Seibert","00-0035145",9,1
"127","A.Seibert","00-0035145",27,1
"128","A.Seibert","00-0035145",8,1
"129","A.Seibert","00-0035145",9,1
"130","A.Seibert","00-0035145",11,1
"131","A.Seibert","00-0035145",15,1
"132","A.Seibert","00-0035145",12,1
"133","N.Folk","00-0025565",23,1
"134","G.Zuerlein","00-0029621",15,1
"135","C.Boswell","00-0031136",4,1
"136","C.Boswell","00-0031136",35,1
"137","W.Lutz","00-0032569",16,1
"138","W.Lutz","00-0032569",11,1
"139","J.Slye","00-0035192",11,1
"140","J.Slye","00-0035192",10,1
"141","J.Myers","00-0031492",25,1
"142","J.Slye","00-0035192",30,0
"143","J.Myers","00-0031492",20,1
"144","J.Myers","00-0031492",13,1
"145","W.Reichard","00-0039404",4,1
"146","W.Reichard","00-0039404",21,1
"147","W.Reichard","00-0039404",8,1
"148","J.Moody","00-0038562",13,1
"149","C.McLaughlin","00-0035358",12,1
"150","C.McLaughlin","00-0035358",37,1
"151","J.Bates","00-0039172",3,1
"152","J.Bates","00-0039172",17,1
"153","J.Bates","00-0039172",13,1
"154","B.Aubrey","00-0037692",46,1
"155","B.Aubrey","00-0037692",33,1
"156","J.Tucker","00-0029597",28,0
"157","D.Carlson","00-0034161",39,0
"158","E.Pineiro","00-0034173",25,1
"159","E.Pineiro","00-0034173",17,1
"160","E.Pineiro","00-0034173",8,1
"161","C.Santos","00-0031203",38,0
"162","C.Santos","00-0031203",34,1
"163","W.Lutz","00-0032569",25,1
"164","W.Lutz","00-0032569",20,1
"165","W.Lutz","00-0032569",15,1
"166","W.Lutz","00-0032569",25,1
"167","M.Prater","00-0023853",24,1
"168","M.Prater","00-0023853",26,1
"169","B.Narveson","00-0039649",3,1
"170","B.Narveson","00-0039649",8,1
"171","B.Narveson","00-0039649",29,1
"172","K.Fairbairn","00-0032726",36,0
"173","W.Reichard","00-0039404",17,1
"174","W.Reichard","00-0039404",40,1
"175","C.Little","00-0039409",23,1
"176","T.Bass","00-0036162",9,1
"177","T.Bass","00-0036162",25,1
"178","H.Butker","00-0033303",35,1
"179","H.Butker","00-0033303",26,1
"180","H.Butker","00-0033303",3,1
"181","Y.Koo","00-0033702",36,1
"182","C.Dicker","00-0037224",10,1
"183","C.Boswell","00-0031136",44,0
"184","C.Boswell","00-0031136",20,1
"185","C.Boswell","00-0031136",12,1
"186","J.Myers","00-0031492",37,1
"187","J.Sanders","00-0034794",39,0
"188","J.Sanders","00-0034794",4,1
"189","J.Myers","00-0031492",34,0
"190","J.Slye","00-0035192",26,1
"191","G.Zuerlein","00-0029621",27,0
"192","G.Zuerlein","00-0029621",9,1
"193","D.Hopkins","00-0030098",35,0
"194","G.Joseph","00-0034450",30,0
"195","B.Grupe","00-0038905",16,1
"196","B.Grupe","00-0038905",20,1
"197","J.Elliott","00-0033787",42,0
"198","J.Moody","00-0038562",8,1
"199","J.Karty","00-0039750",15,1
"200","J.Moody","00-0038562",37,0
"201","J.Karty","00-0039750",19,1
"202","E.McPherson","00-0036854",30,0
"203","E.McPherson","00-0036854",9,1
"204","E.McPherson","00-0036854",13,1
"205","A.Seibert","00-0035145",24,1
"206","T.Bass","00-0036162",32,1
"207","T.Bass","00-0036162",30,0
"208","E.McPherson","00-0036854",38,1
"209","E.Pineiro","00-0034173",30,1
"210","E.McPherson","00-0036854",28,1
