"","receiver_player_name","receiver_player_id","passer_player_name","passer_player_id","complete_pass","air_yards","yards_after_catch","yards_gained_pass","defteam","interception"
"1","J.Conner","00-0033553","K.Murray","00-0035228",1,-3,25,22,"BUF",0
"2","J.Conner","00-0033553","K.Murray","00-0035228",1,2,7,9,"BUF",0
"3","G.Dortch","00-0035500","K.Murray","00-0035228",1,6,2,8,"BUF",0
"4","M.Harrison","00-0039849","K.Murray","00-0035228",0,12,NA,0,"BUF",0
"5",NA,NA,"K.Murray","00-0035228",0,NA,NA,0,"BUF",0
"6","Mi.Wilson","00-0038559","K.Murray","00-0035228",1,5,0,5,"BUF",0
"7","M.Hollins","00-0033555","J.Allen","00-0034857",1,13,1,14,"ARI",0
"8",NA,NA,"J.Allen","00-0034857",0,NA,NA,-10,"ARI",0
"9","J.Conner","00-0033553","K.Murray","00-0035228",1,-3,5,2,"BUF",0
"10","E.Demercado","00-0038705","K.Murray","00-0035228",1,0,24,24,"BUF",0
"11","T.McBride","00-0037744","K.Murray","00-0035228",1,6,0,6,"BUF",0
"12","E.Higgins","00-0039041","K.Murray","00-0035228",1,-1,8,7,"BUF",0
"13","G.Dortch","00-0035500","K.Murray","00-0035228",1,3,0,3,"BUF",0
"14","E.Demercado","00-0038705","K.Murray","00-0035228",1,1,1,2,"BUF",0
"15","D.Knox","00-0035689","J.Allen","00-0034857",1,6,17,23,"ARI",0
"16",NA,NA,"J.Allen","00-0034857",0,NA,NA,0,"ARI",0
"17","T.Benson","00-0039921","K.Murray","00-0035228",1,-4,9,5,"BUF",0
"18","M.Harrison","00-0039849","K.Murray","00-0035228",0,15,NA,0,"BUF",0
"19","M.Harrison","00-0039849","K.Murray","00-0035228",1,4,0,4,"BUF",0
"20","E.Higgins","00-0039041","K.Murray","00-0035228",1,4,1,5,"BUF",0
"21","T.McBride","00-0037744","K.Murray","00-0035228",0,26,NA,0,"BUF",0
"22","G.Dortch","00-0035500","K.Murray","00-0035228",1,9,5,14,"BUF",0
"23","T.McBride","00-0037744","K.Murray","00-0035228",1,6,2,8,"BUF",0
"24","T.McBride","00-0037744","K.Murray","00-0035228",1,7,0,7,"BUF",0
"25","C.Samuel","00-0033282","J.Allen","00-0034857",1,5,3,8,"ARI",0
"26","K.Shakir","00-0037261","J.Allen","00-0034857",1,8,11,19,"ARI",0
"27","K.Coleman","00-0039901","J.Allen","00-0034857",1,1,11,12,"ARI",0
"28","J.Cook","00-0037248","J.Allen","00-0034857",1,-6,10,4,"ARI",0
"29","K.Coleman","00-0039901","J.Allen","00-0034857",1,4,0,4,"ARI",0
"30","J.Cook","00-0037248","J.Allen","00-0034857",1,13,12,25,"ARI",0
