"","full_name","gsis_id"
"1","Matt Prater","00-0023853"
"2","Marcedes Lewis","00-0024243"
"3","Nick Folk","00-0025565"
"4","J.J. Jansen","00-0026027"
"5","Joe Flacco","00-0026158"
"6","Calais Campbell","00-0026190"
"7","Josh Johnson","00-0026300"
"8","Matthew Stafford","00-0026498"
"9","Graham Gano","00-0026858"
"10","Thomas Morstead","00-0027114"
"11","Jonathan Weeks","00-0027224"
"12","Morgan Cox","00-0027557"
"13","Trent Williams","00-0027857"
"14","Brandon Graham","00-0027865"
"15","Jerry Hughes","00-0027881"
"16","Linval Joseph","00-0027885"
"17","Tyron Smith","00-0027947"
"18","Cameron Jordan","00-0027962"
"19","Cameron Heyward","00-0027969"
"20","Andy Dalton","00-0027973"
"21","Tyrod Taylor","00-0028118"
"22","Patrick Scales","00-0028284"
"23","Nick Bellore","00-0028292"
"24","Jake McQuaide","00-0028394"
"25","Josh Harris","00-0028845"
"26","Johnny Hekker","00-0028872"
"27","Rodney McLeod","00-0028899"
"28","Tashaun Gipson","00-0028924"
"29","Aaron Brewer","00-0028946"
"30","Case Keenum","00-0028986"
"31","Charley Hughlett","00-0029008"
"32","Bobby Wagner","00-0029255"
"33","Russell Wilson","00-0029263"
"34","Kelvin Beachum","00-0029316"
"35","Stephon Gilmore","00-0029542"
"36","Lavonte David","00-0029562"
"37","Kevin Zeitler","00-0029592"
"38","Justin Tucker","00-0029597"
"39","Kirk Cousins","00-0029604"
"40","Harrison Smith","00-0029606"
"41","Demario Davis","00-0029607"
"42","Greg Zuerlein","00-0029621"
"43","Greg Van Roten","00-0029685"
"44","Bryan Anger","00-0029692"
"45","Andrew DePaola","00-0029714"
"46","Brandon McManus","00-0029822"
"47","Kyle Juszczyk","00-0029892"
"48","Christopher Hubbard","00-0029963"
"49","Adam Thielen","00-0030035"
"50","Zach Ertz","00-0030061"
"51","Darius Slay","00-0030062"
"52","Johnathan Hankins","00-0030063"
"53","Terron Armstead","00-0030067"
"54","John Jenkins","00-0030070"
"55","Sam Martin","00-0030092"
"56","David Quessenberry","00-0030097"
"57","Dustin Hopkins","00-0030098"
"58","Jordan Poyer","00-0030114"
"59","Tress Way","00-0030140"
"60","Keenan Allen","00-0030279"
"61","Tony Jefferson","00-0030294"
"62","William Gholston","00-0030386"
"63","Robert Woods","00-0030431"
"64","Tyrann Mathieu","00-0030459"
"65","Travis Kelce","00-0030506"
"66","Lane Johnson","00-0030561"
"67","DeAndre Hopkins","00-0030564"
"68","Geno Smith","00-0030565"
"69","Cordarrelle Patterson","00-0030578"
"70","James Winchester","00-0030615"
"71","Cornelius Lucas","00-0030725"
"72","Mike Pennel","00-0030757"
"73","Casey Kreiter","00-0030957"
"74","Khalil Mack","00-0031040"
"75","DaQuan Jones","00-0031054"
"76","Pat O'Donnell","00-0031079"
"77","Shaquil Barrett","00-0031101"
"78","Chris Boswell","00-0031136"
"79","Tyler Ott","00-0031156"
"80","Brent Urban","00-0031177"
"81","Cairo Santos","00-0031203"
