"","rusher_player_name","rusher_player_id","posteam","defteam","yards_gained_rush"
"1","J.Conner","00-0033553","ARI","BUF",3
"2","J.Conner","00-0033553","ARI","BUF",2
"3","J.Conner","00-0033553","ARI","BUF",2
"4","J.Conner","00-0033553","ARI","BUF",2
"5","J.Conner","00-0033553","ARI","BUF",-3
"6","K.Murray","00-0035228","ARI","BUF",6
"7","J.Conner","00-0033553","ARI","BUF",4
"8","J.Cook","00-0037248","BUF","ARI",9
"9","J.Cook","00-0037248","BUF","ARI",3
"10","J.Conner","00-0033553","ARI","BUF",4
"11","K.Murray","00-0035228","ARI","BUF",11
"12","J.Conner","00-0033553","ARI","BUF",1
"13","J.Cook","00-0037248","BUF","ARI",15
"14","J.Cook","00-0037248","BUF","ARI",5
"15","J.Cook","00-0037248","BUF","ARI",9
"16","J.Cook","00-0037248","BUF","ARI",4
"17","J.Cook","00-0037248","BUF","ARI",4
"18","J.Cook","00-0037248","BUF","ARI",0
"19","T.Benson","00-0039921","ARI","BUF",6
"20","K.Murray","00-0035228","ARI","BUF",12
"21","T.Benson","00-0039921","ARI","BUF",4
"22","T.Benson","00-0039921","ARI","BUF",3
"23","J.Conner","00-0033553","ARI","BUF",3
"24","Ty.Johnson","00-0035537","BUF","ARI",6
"25","J.Allen","00-0034857","BUF","ARI",6
"26","J.Allen","00-0034857","BUF","ARI",7
"27","J.Allen","00-0034857","BUF","ARI",7
"28","J.Cook","00-0037248","BUF","ARI",1
"29","J.Cook","00-0037248","BUF","ARI",-2
"30","R.Davis","00-0039875","BUF","ARI",13
"31","R.Davis","00-0039875","BUF","ARI",0
"32","J.Conner","00-0033553","ARI","BUF",2
"33","J.Conner","00-0033553","ARI","BUF",2
"34","R.Davis","00-0039875","BUF","ARI",0
"35","J.Cook","00-0037248","BUF","ARI",1
"36","Ty.Johnson","00-0035537","BUF","ARI",1
"37","J.Allen","00-0034857","BUF","ARI",1
"38","J.Conner","00-0033553","ARI","BUF",3
"39","K.Murray","00-0035228","ARI","BUF",29
"40","J.Conner","00-0033553","ARI","BUF",20
"41","G.Dortch","00-0035500","ARI","BUF",4
"42","J.Conner","00-0033553","ARI","BUF",2
"43","J.Conner","00-0033553","ARI","BUF",0
"44","J.Cook","00-0037248","BUF","ARI",6
"45","J.Cook","00-0037248","BUF","ARI",1
"46","J.Allen","00-0034857","BUF","ARI",5
"47","J.Cook","00-0037248","BUF","ARI",-2
"48","J.Allen","00-0034857","BUF","ARI",6
"49","J.Conner","00-0033553","ARI","BUF",2
"50","J.Allen","00-0034857","BUF","ARI",9
"51","J.Cook","00-0037248","BUF","ARI",3
"52","J.Cook","00-0037248","BUF","ARI",-3
"53","J.Cook","00-0037248","BUF","ARI",9
"54","J.Cook","00-0037248","BUF","ARI",7
"55","J.Cook","00-0037248","BUF","ARI",1
"56","J.Allen","00-0034857","BUF","ARI",-1
"57","J.Conner","00-0033553","ARI","BUF",3
"58","D.Henry","00-0032764","BAL","KC",2
"59","D.Henry","00-0032764","BAL","KC",1
"60","D.Henry","00-0032764","BAL","KC",6
"61","D.Henry","00-0032764","BAL","KC",3
"62","L.Jackson","00-0034796","BAL","KC",11
"63","L.Jackson","00-0034796","BAL","KC",8
"64","D.Henry","00-0032764","BAL","KC",5
"65","I.Pacheco","00-0037197","KC","BAL",4
"66","X.Worthy","00-0039894","KC","BAL",21
"67","D.Henry","00-0032764","BAL","KC",1
"68","I.Pacheco","00-0037197","KC","BAL",1
"69","D.Henry","00-0032764","BAL","KC",6
"70","L.Jackson","00-0034796","BAL","KC",5
"71","L.Jackson","00-0034796","BAL","KC",7
"72","I.Pacheco","00-0037197","KC","BAL",2
"73","I.Pacheco","00-0037197","KC","BAL",5
"74","Z.Flowers","00-0039064","BAL","KC",6
"75","D.Henry","00-0032764","BAL","KC",9
"76","L.Jackson","00-0034796","BAL","KC",13
"77","L.Jackson","00-0034796","BAL","KC",3
"78","L.Jackson","00-0034796","BAL","KC",10
"79","L.Jackson","00-0034796","BAL","KC",6
"80","J.Hill","00-0034975","BAL","KC",3
"81","I.Pacheco","00-0037197","KC","BAL",5
"82","I.Pacheco","00-0037197","KC","BAL",1
"83","D.Henry","00-0032764","BAL","KC",-1
"84","I.Pacheco","00-0037197","KC","BAL",5
"85","I.Pacheco","00-0037197","KC","BAL",2
"86","I.Pacheco","00-0037197","KC","BAL",3
"87","C.Steele","00-0039325","KC","BAL",5
"88","D.Henry","00-0032764","BAL","KC",6
"89","D.Henry","00-0032764","BAL","KC",1
"90","L.Jackson","00-0034796","BAL","KC",16
"91","L.Jackson","00-0034796","BAL","KC",3
"92","I.Pacheco","00-0037197","KC","BAL",3
"93","I.Pacheco","00-0037197","KC","BAL",5
"94","I.Pacheco","00-0037197","KC","BAL",2
"95","P.Mahomes","00-0033873","KC","BAL",4
"96","I.Pacheco","00-0037197","KC","BAL",0
"97","Z.Flowers","00-0039064","BAL","KC",8
"98","L.Jackson","00-0034796","BAL","KC",9
"99","D.Henry","00-0032764","BAL","KC",5
"100","L.Jackson","00-0034796","BAL","KC",13
"101","D.Henry","00-0032764","BAL","KC",2
"102","L.Jackson","00-0034796","BAL","KC",4
"103","L.Jackson","00-0034796","BAL","KC",2
"104","I.Pacheco","00-0037197","KC","BAL",5
"105","I.Pacheco","00-0037197","KC","BAL",2
"106","C.Steele","00-0039325","KC","BAL",-2
"107","L.Jackson","00-0034796","BAL","KC",9
"108","L.Jackson","00-0034796","BAL","KC",3
"109","A.Kamara","00-0033906","NO","CAR",9
"110","T.Hill","00-0033357","NO","CAR",2
"111","A.Kamara","00-0033906","NO","CAR",11
"112","A.Kamara","00-0033906","NO","CAR",-5
"113","C.Hubbard","00-0036555","CAR","NO",4
"114","C.Hubbard","00-0036555","CAR","NO",7
"115","B.Young","00-0039150","CAR","NO",1
"116","C.Hubbard","00-0036555","CAR","NO",3
"117","A.Kamara","00-0033906","NO","CAR",9
"118","A.Kamara","00-0033906","NO","CAR",5
"119","T.Hill","00-0033357","NO","CAR",12
"120","T.Hill","00-0033357","NO","CAR",9
"121","T.Hill","00-0033357","NO","CAR",5
"122","A.Kamara","00-0033906","NO","CAR",17
"123","A.Kamara","00-0033906","NO","CAR",2
"124","M.Sanders","00-0035243","CAR","NO",2
"125","M.Sanders","00-0035243","CAR","NO",5
"126","A.Kamara","00-0033906","NO","CAR",5
"127","Ja.Williams","00-0033948","NO","CAR",4
"128","A.Kamara","00-0033906","NO","CAR",17
"129","A.Kamara","00-0033906","NO","CAR",0
