team,qb,rb_1,rb_2
ARI,0.196078431,0.54248366,0.261437908
ATL,0.1,0.642553191,0.257446809
BAL,0.277246654,0.62332696,0.099426386
BUF,0.23553719,0.545454545,0.219008264
CAR,0.125615764,0.687192118,0.187192118
CHI,0.179856115,0.601918465,0.21822542
CIN,0.138888889,0.672222222,0.188888889
CLE,0.08797654,0.703812317,0.208211144
DAL,0.141210375,0.585014409,0.273775216
DEN,0.200945626,0.430260047,0.368794326
DET,0.069037657,0.4958159,0.435146444
GB,0.104018913,0.709219858,0.186761229
HOU,0.123486683,0.590799031,0.285714286
IND,0.192640693,0.774891775,0.032467532
JAX,0.169491525,0.375706215,0.45480226
KC,0.193633952,0.551724138,0.25464191
LAC,0.146171694,0.533642691,0.320185615
LAR,0.081885856,0.774193548,0.143920596
LV,0.151670951,0.722365039,0.12596401
MIA,0.102339181,0.637426901,0.260233918
MIN,0.133333333,0.471604938,0.395061728
NE,0.167355372,0.411157025,0.421487603
NO,0.115606936,0.630057803,0.25433526
NYG,0.095588235,0.514705882,0.389705882
NYJ,0.32193159,0.464788732,0.213279678
PHI,0.280669145,0.615241636,0.104089219
PIT,0.070615034,0.59453303,0.334851936
SEA,0.146726862,0.620767494,0.232505643
SF,0.139534884,0.6,0.260465116
TB,0.140589569,0.596371882,0.263038549
TEN,0.15258216,0.575117371,0.272300469
WAS,0.320175439,0.489035088,0.190789474
