team,rb_1,rb_2,wr_1,wr_2,wr_3,wr_4,te_1,te_2
ARI,0.1037182,0.052837573,0.272015656,0.136986301,0.062622309,0.037181996,0.293542074,0.04109589
ATL,0.1522158,0.02504817,0.29672447,0.19460501,0.123314066,0.030828516,0.1522158,0.02504817
BAL,0.052272727,0.113636364,0.259090909,0.154545455,0.104545455,0.004545455,0.186363636,0.125
BUF,0.100446429,0.022321429,0.247767857,0.214285714,0.100446429,0.066964286,0.191964286,0.055803571
CAR,0.112781955,0.05075188,0.22556391,0.184210526,0.17481203,0.082706767,0.112781955,0.056390977
CHI,0.092130518,0.051823417,0.255278311,0.234165067,0.126679463,0.015355086,0.172744722,0.051823417
CIN,0.128070175,0.031578947,0.3,0.247368421,0.085964912,0.036842105,0.138596491,0.031578947
CLE,0.105555556,0.042592593,0.261111111,0.198148148,0.137037037,0.005555556,0.198148148,0.051851852
DAL,0.115523466,0.032490975,0.306859206,0.211191336,0.057761733,0.07400722,0.16967509,0.032490975
DEN,0.141434263,0.075697211,0.249003984,0.129482072,0.107569721,0.047808765,0.217131474,0.03187251
DET,0.152255639,0.080827068,0.283834586,0.203007519,0.05075188,0.026315789,0.193609023,0.009398496
GB,0.107942974,0.052953157,0.232179226,0.183299389,0.156822811,0.040733198,0.183299389,0.042769857
HOU,0.108910891,0.021782178,0.283168317,0.184158416,0.130693069,0.075247525,0.152475248,0.043564356
IND,0.091703057,0.015283843,0.26419214,0.22489083,0.102620087,0.102620087,0.183406114,0.015283843
JAX,0.105263158,0.041742287,0.272232305,0.219600726,0.114337568,0.063520871,0.157894737,0.025408348
KC,0.094474153,0.051693405,0.229946524,0.199643494,0.156862745,0.021390374,0.178253119,0.067736185
LAC,0.100952381,0.041904762,0.276190476,0.16,0.127619048,0.112380952,0.095238095,0.085714286
LAR,0.083636364,0.02,0.3,0.249090909,0.103636364,0.056363636,0.134545455,0.052727273
LV,0.144160584,0.020072993,0.226277372,0.155109489,0.062043796,0.041970803,0.268248175,0.082116788
MIA,0.15978456,0.026929982,0.244165171,0.222621185,0.116696589,0.043087971,0.154398564,0.032315978
MIN,0.11942959,0.03030303,0.311942959,0.217468806,0.040998217,0.03030303,0.20855615,0.040998217
NE,0.117154812,0.079497908,0.20083682,0.154811715,0.144351464,0.052301255,0.173640167,0.077405858
NO,0.174397032,0.040816327,0.235621521,0.194805195,0.133580705,0.020408163,0.133580705,0.066790353
NYG,0.09596929,0.080614203,0.3243762,0.193857965,0.13243762,0.009596929,0.142034549,0.021113244
NYJ,0.146396396,0.042792793,0.324324324,0.135135135,0.126126126,0.031531532,0.166666667,0.027027027
PHI,0.142538976,0.031180401,0.316258352,0.265033408,0.035634744,0.004454343,0.184855234,0.020044543
PIT,0.073076923,0.136538462,0.263461538,0.105769231,0.063461538,0.051923077,0.148076923,0.157692308
SEA,0.124756335,0.066276803,0.259259259,0.228070175,0.062378168,0.031189084,0.134502924,0.093567251
SF,0.178571429,0.015873016,0.23015873,0.204365079,0.089285714,0.061507937,0.21031746,0.009920635
TB,0.121495327,0.071028037,0.228037383,0.186915888,0.138317757,0.097196262,0.147663551,0.009345794
TEN,0.12145749,0.105263158,0.265182186,0.143724696,0.076923077,0.066801619,0.17611336,0.044534413
WAS,0.064579256,0.127201566,0.254403131,0.191780822,0.095890411,0.043052838,0.15851272,0.064579256
