coach,down,red_zone,distance,pass_prob,run_prob,fg_prob,punt_prob
Nick Sirianni,1,TRUE,All,0.267857143,0.729166667,0.00297619,0
Nick Sirianni,1,FALSE,All,0.449616648,0.549288061,0.00109529,0
Nick Sirianni,2,TRUE,Short,0.185185185,0.814814815,0,0
Nick Sirianni,2,TRUE,Mid,0.307692308,0.692307692,0,0
Nick Sirianni,2,TRUE,Long,0.508333333,0.475,0.016666667,0
Nick Sirianni,2,FALSE,Short,0.334883721,0.660465116,0.004651163,0
Nick Sirianni,2,FALSE,Mid,0.447284345,0.552715655,0,0
Nick Sirianni,2,FALSE,Long,0.685782557,0.3130227,0.001194743,0
Nick Sirianni,3,TRUE,Short,0.294871795,0.692307692,0.012820513,0
Nick Sirianni,3,TRUE,Mid,0.714285714,0.285714286,0,0
Nick Sirianni,3,TRUE,Long,0.612903226,0.387096774,0,0
Nick Sirianni,3,FALSE,Short,0.334763948,0.665236052,0,0
Nick Sirianni,3,FALSE,Mid,0.695652174,0.304347826,0,0
Nick Sirianni,3,FALSE,Long,0.79501385,0.202216066,0.002770083,0
Nick Sirianni,4,TRUE,Short,0.166666667,0.611111111,0.222222222,0
Nick Sirianni,4,TRUE,Mid,0.111111111,0,0.888888889,0
Nick Sirianni,4,TRUE,Long,0.025641026,0,0.974358974,0
Nick Sirianni,4,FALSE,Short,0.223300971,0.359223301,0.087378641,0.330097087
Nick Sirianni,4,FALSE,Mid,0.144444444,0.022222222,0.155555556,0.677777778
Nick Sirianni,4,FALSE,Long,0.070754717,0.009433962,0.188679245,0.731132075
Jim Harbaugh,1,TRUE,All,0.343558282,0.650306748,0.006134969,0
Jim Harbaugh,1,FALSE,All,0.447876448,0.549710425,0.002413127,0
Jim Harbaugh,2,TRUE,Short,0.220338983,0.779661017,0,0
Jim Harbaugh,2,TRUE,Mid,0.4625,0.5375,0,0
Jim Harbaugh,2,TRUE,Long,0.484375,0.484375,0.03125,0
Jim Harbaugh,2,FALSE,Short,0.300492611,0.699507389,0,0
Jim Harbaugh,2,FALSE,Mid,0.458064516,0.541935484,0,0
Jim Harbaugh,2,FALSE,Long,0.60753221,0.390485629,0.001982161,0
Jim Harbaugh,3,TRUE,Short,0.260869565,0.724637681,0.014492754,0
Jim Harbaugh,3,TRUE,Mid,0.678571429,0.303571429,0.017857143,0
Jim Harbaugh,3,TRUE,Long,0.788732394,0.211267606,0,0
Jim Harbaugh,3,FALSE,Short,0.420353982,0.579646018,0,0
Jim Harbaugh,3,FALSE,Mid,0.828828829,0.166666667,0.004504505,0
Jim Harbaugh,3,FALSE,Long,0.779727096,0.216374269,0.003898635,0
Jim Harbaugh,4,TRUE,Short,0.046511628,0.186046512,0.76744186,0
Jim Harbaugh,4,TRUE,Mid,0.048780488,0,0.951219512,0
Jim Harbaugh,4,TRUE,Long,0.068181818,0.022727273,0.909090909,0
Jim Harbaugh,4,FALSE,Short,0.112903226,0.153225806,0.161290323,0.572580645
Jim Harbaugh,4,FALSE,Mid,0.111940299,0,0.164179104,0.723880597
Jim Harbaugh,4,FALSE,Long,0.02640264,0.01320132,0.158415842,0.801980198
