"","punter_player_name","punter_player_id","kick_distance"
"1","B.Gillikin","00-0035859",50
"2","S.Martin","00-0030092",51
"3","S.Martin","00-0030092",34
"4","B.Gillikin","00-0035859",28
"5","J.Stout","00-0038094",40
"6","M.Araiza","00-0037284",56
"7","J.Stout","00-0038094",35
"8","M.Araiza","00-0037284",40
"9","M.Araiza","00-0037284",48
"10","J.Hekker","00-0028872",46
"11","J.Hekker","00-0028872",46
"12","J.Hekker","00-0028872",53
"13","J.Hekker","00-0028872",11
"14","M.Hayball","00-0039611",38
"15","M.Hayball","00-0039611",35
"16","J.Hekker","00-0028872",35
"17","B.Anger","00-0029692",42
"18","C.Bojorquez","00-0034721",58
"19","B.Anger","00-0029692",52
"20","C.Bojorquez","00-0034721",53
"21","B.Anger","00-0029692",46
"22","C.Bojorquez","00-0034721",56
"23","C.Bojorquez","00-0034721",33
"24","C.Bojorquez","00-0034721",46
"25","C.Bojorquez","00-0034721",49
"26","B.Anger","00-0029692",43
"27","C.Bojorquez","00-0034721",62
"28","B.Anger","00-0029692",52
"29","B.Anger","00-0029692",59
"30","M.Dickson","00-0034160",44
"31","R.Dixon","00-0032943",39
"32","M.Dickson","00-0034160",52
"33","R.Dixon","00-0032943",38
"34","R.Dixon","00-0032943",54
"35","R.Dixon","00-0032943",65
"36","R.Dixon","00-0032943",37
"37","M.Dickson","00-0034160",52
"38","R.Dixon","00-0032943",42
"39","R.Dixon","00-0032943",65
"40","R.Dixon","00-0032943",49
"41","M.Dickson","00-0034160",50
"42","M.Dickson","00-0034160",43
"43","D.Whelan","00-0037547",33
"44","B.Mann","00-0036313",54
"45","D.Whelan","00-0037547",41
"46","B.Mann","00-0036313",47
"47","R.Sanchez","00-0033269",58
"48","R.Sanchez","00-0033269",39
"49","T.Townsend","00-0035889",56
"50","R.Sanchez","00-0033269",55
"51","T.Townsend","00-0035889",0
"52","L.Cooke","00-0034437",48
"53","J.Bailey","00-0035280",47
"54","J.Bailey","00-0035280",57
"55","L.Cooke","00-0034437",67
"56","L.Cooke","00-0034437",52
"57","J.Bailey","00-0035280",51
"58","L.Cooke","00-0034437",55
"59","J.Bailey","00-0035280",43
"60","L.Cooke","00-0034437",44
"61","L.Cooke","00-0034437",45
"62","E.Evans","00-0039059",48
"63","J.Fox","00-0035156",67
"64","J.Fox","00-0035156",64
"65","E.Evans","00-0039059",43
"66","J.Fox","00-0035156",45
"67","J.Fox","00-0035156",54
"68","E.Evans","00-0039059",50
"69","J.Scott","00-0034162",28
"70","A.Cole","00-0035190",57
"71","J.Scott","00-0034162",51
"72","J.Scott","00-0034162",52
"73","A.Cole","00-0035190",52
"74","J.Scott","00-0034162",55
"75","A.Cole","00-0035190",59
"76","J.Scott","00-0034162",56
"77","A.Cole","00-0035190",62
"78","J.Scott","00-0034162",49
"79","J.Scott","00-0034162",41
"80","A.Cole","00-0035190",35
"81","J.Gillan","00-0035042",54
"82","J.Gillan","00-0035042",39
"83","J.Gillan","00-0035042",34
"84","R.Wright","00-0037500",48
"85","J.Gillan","00-0035042",52
"86","R.Wright","00-0037500",47
"87","J.Gillan","00-0035042",50
"88","R.Wright","00-0037500",26
"89","R.Wright","00-0037500",47
"90","J.Gillan","00-0035042",48
